event_code,event_name,event_title
KQQY,Quarterly results,STC-Q2/2017 financial statements (holding company)
BOME,BOD Meeting,"STC-BoD's resolution dated June 30, 2017"
KQQY,Quarterly results,STC-  Q1/2017 consolidated financial statements
AGMR,AGM Resolution,STC- 2017 AGM's resolution
BOME,BOD Meeting,"STC-BoD's resolution dated March 28, 2017"
KQSB,Year Interim Result,STC- 2016 financial statements (Holding company)
AGME,Annual General Meeting,STC-Holds 2017 AGM
DIV,Cash Dividend,"STC-Pays 2016 interim cash dividend at VND1,300/share"
BOME,BOD Meeting,"STC-BoD's resolution dated February 20, 2017"
KQQY,Quarterly results,STC- Q4/2016 financial statements (Holding company)
BOME,BOD Meeting,"STC-BoD's resolution dated January 9, 2017"
BCHA,Key Personnel Change,STC-Appoints Mr. Tran Van Hung as Chairman and Mr. Tu Trung Dan as CEO
BCHA,Key Personnel Change,STC-Mr. Tu Van Son leaves from the position of Chairman
KQQY,Quarterly results,STC-Q3/2016 financial statements (Holding company)
BALLOT,Record date for ballot,STC-Holds a shareholders' circular ballot
BOME,BOD Meeting,"STC-BoD's resolution dated September 27, 2016"
BOME,BOD Meeting,"STC-BoD's resolution dated September 19, 2016"
BOME,BOD Meeting,"STC-BoD's resolution dated September 8, 2016"
KQQY,Quarterly results,STC-H1/2016 consolidated financial statements
KQQY,Quarterly results,STC- Q2/2016 financial statements (Holding company)
BOME,BOD Meeting,"STC-BoD's resolution dated July 8, 2016"
BOME,BOD Meeting,"STC-BoD's resolution dated May 10, 2016"
KQQY,Quarterly results,STC- Q1/2016 consolidated financial statements
AGMR,AGM Resolution,STC-2016 AGM's resolution
BOME,BOD Meeting,STC-BoD's resolution on changing the legal representative persons
BOME,BOD Meeting,STC-BoD's resolution on share issue for employees
KQCT,Final Annual Results,STC-2015 financial statements
DDALL,Director Deal,"STC-Ms. Huynh Thi Bich Hanh, chief accountant, sold 6,500 shares "
BOME,BOD Meeting,"STC-BoD's resolution dated February 23, 2016"
KQQY,Quarterly results,STC-  Q4/2015 financial statements (Consolidated)
BOME,BOD Meeting,"STC-BoD's resolution dated January 28, 2016"
AGME,Annual General Meeting,STC-Holds 2016 AGM
DIV,Cash Dividend,"STC-Pays 2015 interim cash dividend at VND1,300/share"
BALLOT,Record date for ballot,STC-Holds a shareholders' circular ballot:
BOME,BOD Meeting,"STC-BoD's resolution dated January 13, 2016"
DDALL,Director Deal,"STC-Ms. Huynh Thi Bich Hanh, chief accountant, registers to sell 9,000 shares"
KQQY,Quarterly results,
BOME,BOD Meeting,
KQQY,Quarterly results,
KQQY,Quarterly results,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
